1,3,0,1,0,7.25
2,1,1,1,0,71.2833
3,3,1,0,0,7.925
4,1,1,1,0,53.1
5,3,0,0,0,8.05
6,3,0,0,0,8.4583
7,1,0,0,0,51.8625
8,3,0,3,1,21.075
9,3,1,0,2,11.1333
10,2,1,1,0,30.0708
11,3,1,1,1,16.7
12,1,1,0,0,26.55
13,3,0,0,0,8.05
14,3,0,1,5,31.275
15,3,1,0,0,7.8542
16,2,1,0,0,16.0
17,3,0,4,1,29.125
18,2,0,0,0,13.0
19,3,1,1,0,18.0
20,3,1,0,0,7.225
21,2,0,0,0,26.0
22,2,0,0,0,13.0
23,3,1,0,0,8.0292
24,1,0,0,0,35.5
25,3,1,3,1,21.075
26,3,1,1,5,31.3875
27,3,0,0,0,7.225
28,1,0,3,2,263.0
29,3,1,0,0,7.8792
30,3,0,0,0,7.8958
31,1,0,0,0,27.7208
32,1,1,1,0,146.5208
33,3,1,0,0,7.75
34,2,0,0,0,10.5
35,1,0,1,0,82.1708
36,1,0,1,0,52.0
37,3,0,0,0,7.2292
38,3,0,0,0,8.05
39,3,1,2,0,18.0
40,3,1,1,0,11.2417
41,3,1,1,0,9.475
42,2,1,1,0,21.0
43,3,0,0,0,7.8958
44,2,1,1,2,41.5792
45,3,1,0,0,7.8792
46,3,0,0,0,8.05
47,3,0,1,0,15.5
48,3,1,0,0,7.75
49,3,0,2,0,21.6792
50,3,1,1,0,17.8
51,3,0,4,1,39.6875
52,3,0,0,0,7.8
53,1,1,1,0,76.7292
54,2,1,1,0,26.0
55,1,0,0,1,61.9792
56,1,0,0,0,35.5
57,2,1,0,0,10.5
58,3,0,0,0,7.2292
59,2,1,1,2,27.75
60,3,0,5,2,46.9
61,3,0,0,0,7.2292
62,1,1,0,0,80.0
63,1,0,1,0,83.475
64,3,0,3,2,27.9
65,1,0,0,0,27.7208
66,3,0,1,1,15.2458
67,2,1,0,0,10.5
68,3,0,0,0,8.1583
69,3,1,4,2,7.925
70,3,0,2,0,8.6625
71,2,0,0,0,10.5
72,3,1,5,2,46.9
73,2,0,0,0,73.5
74,3,0,1,0,14.4542
75,3,0,0,0,56.4958
76,3,0,0,0,7.65
77,3,0,0,0,7.8958
78,3,0,0,0,8.05
79,2,0,0,2,29.0
80,3,1,0,0,12.475
81,3,0,0,0,9.0
82,3,0,0,0,9.5
83,3,1,0,0,7.7875
84,1,0,0,0,47.1
85,2,1,0,0,10.5
86,3,1,3,0,15.85
87,3,0,1,3,34.375
88,3,0,0,0,8.05
89,1,1,3,2,263.0
90,3,0,0,0,8.05
91,3,0,0,0,8.05
92,3,0,0,0,7.8542
93,1,0,1,0,61.175
94,3,0,1,2,20.575
95,3,0,0,0,7.25
96,3,0,0,0,8.05
97,1,0,0,0,34.6542
98,1,0,0,1,63.3583
99,2,1,0,1,23.0
100,2,0,1,0,26.0
101,3,1,0,0,7.8958
102,3,0,0,0,7.8958
103,1,0,0,1,77.2875
104,3,0,0,0,8.6542
105,3,0,2,0,7.925
106,3,0,0,0,7.8958
107,3,1,0,0,7.65
108,3,0,0,0,7.775
109,3,0,0,0,7.8958
110,3,1,1,0,24.15
111,1,0,0,0,52.0
112,3,1,1,0,14.4542
113,3,0,0,0,8.05
114,3,1,1,0,9.825
115,3,1,0,0,14.4583
116,3,0,0,0,7.925
117,3,0,0,0,7.75
118,2,0,1,0,21.0
119,1,0,0,1,247.5208
120,3,1,4,2,31.275
121,2,0,2,0,73.5
122,3,0,0,0,8.05
123,2,0,1,0,30.0708
124,2,1,0,0,13.0
125,1,0,0,1,77.2875
126,3,0,1,0,11.2417
127,3,0,0,0,7.75
128,3,0,0,0,7.1417
129,3,1,1,1,22.3583
130,3,0,0,0,6.975
131,3,0,0,0,7.8958
132,3,0,0,0,7.05
133,3,1,1,0,14.5
134,2,1,1,0,26.0
135,2,0,0,0,13.0
136,2,0,0,0,15.0458
137,1,1,0,2,26.2833
138,1,0,1,0,53.1
139,3,0,0,0,9.2167
140,1,0,0,0,79.2
141,3,1,0,2,15.2458
142,3,1,0,0,7.75
143,3,1,1,0,15.85
144,3,0,0,0,6.75
145,2,0,0,0,11.5
146,2,0,1,1,36.75
147,3,0,0,0,7.7958
148,3,1,2,2,34.375
149,2,0,0,2,26.0
150,2,0,0,0,13.0
151,2,0,0,0,12.525
152,1,1,1,0,66.6
153,3,0,0,0,8.05
154,3,0,0,2,14.5
155,3,0,0,0,7.3125
156,1,0,0,1,61.3792
157,3,1,0,0,7.7333
158,3,0,0,0,8.05
159,3,0,0,0,8.6625
160,3,0,8,2,69.55
161,3,0,0,1,16.1
162,2,1,0,0,15.75
163,3,0,0,0,7.775
164,3,0,0,0,8.6625
165,3,0,4,1,39.6875
166,3,0,0,2,20.525
167,1,1,0,1,55.0
168,3,1,1,4,27.9
169,1,0,0,0,25.925
170,3,0,0,0,56.4958
171,1,0,0,0,33.5
172,3,0,4,1,29.125
173,3,1,1,1,11.1333
174,3,0,0,0,7.925
175,1,0,0,0,30.6958
176,3,0,1,1,7.8542
177,3,0,3,1,25.4667
178,1,1,0,0,28.7125
179,2,0,0,0,13.0
180,3,0,0,0,0.0
181,3,1,8,2,69.55
182,2,0,0,0,15.05
183,3,0,4,2,31.3875
184,2,0,2,1,39.0
185,3,1,0,2,22.025
186,1,0,0,0,50.0
187,3,1,1,0,15.5
188,1,0,0,0,26.55
189,3,0,1,1,15.5
190,3,0,0,0,7.8958
191,2,1,0,0,13.0
192,2,0,0,0,13.0
193,3,1,1,0,7.8542
194,2,0,1,1,26.0
195,1,1,0,0,27.7208
196,1,1,0,0,146.5208
197,3,0,0,0,7.75
198,3,0,0,1,8.4042
199,3,1,0,0,7.75
200,2,1,0,0,13.0
201,3,0,0,0,9.5
202,3,0,8,2,69.55
203,3,0,0,0,6.4958
204,3,0,0,0,7.225
205,3,0,0,0,8.05
206,3,1,0,1,10.4625
207,3,0,1,0,15.85
208,3,0,0,0,18.7875
209,3,1,0,0,7.75
210,1,0,0,0,31.0
211,3,0,0,0,7.05
212,2,1,0,0,21.0
213,3,0,0,0,7.25
214,2,0,0,0,13.0
215,3,0,1,0,7.75
216,1,1,1,0,113.275
217,3,1,0,0,7.925
218,2,0,1,0,27.0
219,1,1,0,0,76.2917
220,2,0,0,0,10.5
221,3,0,0,0,8.05
222,2,0,0,0,13.0
223,3,0,0,0,8.05
224,3,0,0,0,7.8958
225,1,0,1,0,90.0
226,3,0,0,0,9.35
227,2,0,0,0,10.5
228,3,0,0,0,7.25
229,2,0,0,0,13.0
230,3,1,3,1,25.4667
231,1,1,1,0,83.475
232,3,0,0,0,7.775
233,2,0,0,0,13.5
234,3,1,4,2,31.3875
235,2,0,0,0,10.5
236,3,1,0,0,7.55
237,2,0,1,0,26.0
238,2,1,0,2,26.25
239,2,0,0,0,10.5
240,2,0,0,0,12.275
241,3,1,1,0,14.4542
242,3,1,1,0,15.5
243,2,0,0,0,10.5
244,3,0,0,0,7.125
245,3,0,0,0,7.225
246,1,0,2,0,90.0
247,3,1,0,0,7.775
248,2,1,0,2,14.5
249,1,0,1,1,52.5542
250,2,0,1,0,26.0
251,3,0,0,0,7.25
252,3,1,1,1,10.4625
253,1,0,0,0,26.55
254,3,0,1,0,16.1
255,3,1,0,2,20.2125
256,3,1,0,2,15.2458
257,1,1,0,0,79.2
258,1,1,0,0,86.5
259,1,1,0,0,512.3292
260,2,1,0,1,26.0
261,3,0,0,0,7.75
262,3,0,4,2,31.3875
263,1,0,1,1,79.65
264,1,0,0,0,0.0
265,3,1,0,0,7.75
266,2,0,0,0,10.5
267,3,0,4,1,39.6875
268,3,0,1,0,7.775
269,1,1,0,1,153.4625
270,1,1,0,0,135.6333
271,1,0,0,0,31.0
272,3,0,0,0,0.0
273,2,1,0,1,19.5
274,1,0,0,1,29.7
275,3,1,0,0,7.75
276,1,1,1,0,77.9583
277,3,1,0,0,7.75
278,2,0,0,0,0.0
279,3,0,4,1,29.125
280,3,1,1,1,20.25
281,3,0,0,0,7.75
282,3,0,0,0,7.8542
283,3,0,0,0,9.5
284,3,0,0,0,8.05
285,1,0,0,0,26.0
286,3,0,0,0,8.6625
287,3,0,0,0,9.5
288,3,0,0,0,7.8958
289,2,0,0,0,13.0
290,3,1,0,0,7.75
291,1,1,0,0,78.85
292,1,1,1,0,91.0792
293,2,0,0,0,12.875
294,3,1,0,0,8.85
295,3,0,0,0,7.8958
296,1,0,0,0,27.7208
297,3,0,0,0,7.2292
298,1,1,1,2,151.55
299,1,0,0,0,30.5
300,1,1,0,1,247.5208
301,3,1,0,0,7.75
302,3,0,2,0,23.25
303,3,0,0,0,0.0
304,2,1,0,0,12.35
305,3,0,0,0,8.05
306,1,0,1,2,151.55
307,1,1,0,0,110.8833
308,1,1,1,0,108.9
309,2,0,1,0,24.0
310,1,1,0,0,56.9292
311,1,1,0,0,83.1583
312,1,1,2,2,262.375
313,2,1,1,1,26.0
314,3,0,0,0,7.8958
315,2,0,1,1,26.25
316,3,1,0,0,7.8542
317,2,1,1,0,26.0
318,2,0,0,0,14.0
319,1,1,0,2,164.8667
320,1,1,1,1,134.5
321,3,0,0,0,7.25
322,3,0,0,0,7.8958
323,2,1,0,0,12.35
324,2,1,1,1,29.0
325,3,0,8,2,69.55
326,1,1,0,0,135.6333
327,3,0,0,0,6.2375
328,2,1,0,0,13.0
329,3,1,1,1,20.525
330,1,1,0,1,57.9792
331,3,1,2,0,23.25
332,1,0,0,0,28.5
333,1,0,0,1,153.4625
334,3,0,2,0,18.0
335,1,1,1,0,133.65
336,3,0,0,0,7.8958
337,1,0,1,0,66.6
338,1,1,0,0,134.5
339,3,0,0,0,8.05
340,1,0,0,0,35.5
341,2,0,1,1,26.0
342,1,1,3,2,263.0
343,2,0,0,0,13.0
344,2,0,0,0,13.0
345,2,0,0,0,13.0
346,2,1,0,0,13.0
347,2,1,0,0,13.0
348,3,1,1,0,16.1
349,3,0,1,1,15.9
350,3,0,0,0,8.6625
351,3,0,0,0,9.225
352,1,0,0,0,35.0
353,3,0,1,1,7.2292
354,3,0,1,0,17.8
355,3,0,0,0,7.225
356,3,0,0,0,9.5
357,1,1,0,1,55.0
358,2,1,0,0,13.0
359,3,1,0,0,7.8792
360,3,1,0,0,7.8792
361,3,0,1,4,27.9
362,2,0,1,0,27.7208
363,3,1,0,1,14.4542
364,3,0,0,0,7.05
365,3,0,1,0,15.5
366,3,0,0,0,7.25
367,1,1,1,0,75.25
368,3,1,0,0,7.2292
369,3,1,0,0,7.75
370,1,1,0,0,69.3
371,1,0,1,0,55.4417
372,3,0,1,0,6.4958
373,3,0,0,0,8.05
374,1,0,0,0,135.6333
375,3,1,3,1,21.075
376,1,1,1,0,82.1708
377,3,1,0,0,7.25
378,1,0,0,2,211.5
379,3,0,0,0,4.0125
380,3,0,0,0,7.775
381,1,1,0,0,227.525
382,3,1,0,2,15.7417
383,3,0,0,0,7.925
384,1,1,1,0,52.0
385,3,0,0,0,7.8958
386,2,0,0,0,73.5
387,3,0,5,2,46.9
388,2,1,0,0,13.0
389,3,0,0,0,7.7292
390,2,1,0,0,12.0
391,1,0,1,2,120.0
392,3,0,0,0,7.7958
393,3,0,2,0,7.925
394,1,1,1,0,113.275
395,3,1,0,2,16.7
396,3,0,0,0,7.7958
397,3,1,0,0,7.8542
398,2,0,0,0,26.0
399,2,0,0,0,10.5
400,2,1,0,0,12.65
401,3,0,0,0,7.925
402,3,0,0,0,8.05
403,3,1,1,0,9.825
404,3,0,1,0,15.85
405,3,1,0,0,8.6625
406,2,0,1,0,21.0
407,3,0,0,0,7.75
408,2,0,1,1,18.75
409,3,0,0,0,7.775
410,3,1,3,1,25.4667
411,3,0,0,0,7.8958
412,3,0,0,0,6.8583
413,1,1,1,0,90.0
414,2,0,0,0,0.0
415,3,0,0,0,7.925
416,3,1,0,0,8.05
417,2,1,1,1,32.5
418,2,1,0,2,13.0
419,2,0,0,0,13.0
420,3,1,0,2,24.15
421,3,0,0,0,7.8958
422,3,0,0,0,7.7333
423,3,0,0,0,7.875
424,3,1,1,1,14.4
425,3,0,1,1,20.2125
426,3,0,0,0,7.25
427,2,1,1,0,26.0
428,2,1,0,0,26.0
429,3,0,0,0,7.75
430,3,0,0,0,8.05
431,1,0,0,0,26.55
432,3,1,1,0,16.1
433,2,1,1,0,26.0
434,3,0,0,0,7.125
435,1,0,1,0,55.9
436,1,1,1,2,120.0
437,3,1,2,2,34.375
438,2,1,2,3,18.75
439,1,0,1,4,263.0
440,2,0,0,0,10.5
441,2,1,1,1,26.25
442,3,0,0,0,9.5
443,3,0,1,0,7.775
444,2,1,0,0,13.0
445,3,0,0,0,8.1125
446,1,0,0,2,81.8583
447,2,1,0,1,19.5
448,1,0,0,0,26.55
449,3,1,2,1,19.2583
450,1,0,0,0,30.5
451,2,0,1,2,27.75
452,3,0,1,0,19.9667
453,1,0,0,0,27.75
454,1,0,1,0,89.1042
455,3,0,0,0,8.05
456,3,0,0,0,7.8958
457,1,0,0,0,26.55
458,1,1,1,0,51.8625
459,2,1,0,0,10.5
460,3,0,0,0,7.75
461,1,0,0,0,26.55
462,3,0,0,0,8.05
463,1,0,0,0,38.5
464,2,0,0,0,13.0
465,3,0,0,0,8.05
466,3,0,0,0,7.05
467,2,0,0,0,0.0
468,1,0,0,0,26.55
469,3,0,0,0,7.725
470,3,1,2,1,19.2583
471,3,0,0,0,7.25
472,3,0,0,0,8.6625
473,2,1,1,2,27.75
474,2,1,0,0,13.7917
475,3,1,0,0,9.8375
476,1,0,0,0,52.0
477,2,0,1,0,21.0
478,3,0,1,0,7.0458
479,3,0,0,0,7.5208
480,3,1,0,1,12.2875
481,3,0,5,2,46.9
482,2,0,0,0,0.0
483,3,0,0,0,8.05
484,3,1,0,0,9.5875
485,1,0,1,0,91.0792
486,3,1,3,1,25.4667
487,1,1,1,0,90.0
488,1,0,0,0,29.7
489,3,0,0,0,8.05
490,3,0,1,1,15.9
491,3,0,1,0,19.9667
492,3,0,0,0,7.25
493,1,0,0,0,30.5
494,1,0,0,0,49.5042
495,3,0,0,0,8.05
496,3,0,0,0,14.4583
497,1,1,1,0,78.2667
498,3,0,0,0,15.1
499,1,1,1,2,151.55
500,3,0,0,0,7.7958
501,3,0,0,0,8.6625
502,3,1,0,0,7.75
503,3,1,0,0,7.6292
504,3,1,0,0,9.5875
505,1,1,0,0,86.5
506,1,0,1,0,108.9
507,2,1,0,2,26.0
508,1,0,0,0,26.55
509,3,0,0,0,22.525
510,3,0,0,0,56.4958
511,3,0,0,0,7.75
512,3,0,0,0,8.05
513,1,0,0,0,26.2875
514,1,1,1,0,59.4
515,3,0,0,0,7.4958
516,1,0,0,0,34.0208
517,2,1,0,0,10.5
518,3,0,0,0,24.15
519,2,1,1,0,26.0
520,3,0,0,0,7.8958
521,1,1,0,0,93.5
522,3,0,0,0,7.8958
523,3,0,0,0,7.225
524,1,1,0,1,57.9792
525,3,0,0,0,7.2292
526,3,0,0,0,7.75
527,2,1,0,0,10.5
528,1,0,0,0,221.7792
529,3,0,0,0,7.925
530,2,0,2,1,11.5
531,2,1,1,1,26.0
532,3,0,0,0,7.2292
533,3,0,1,1,7.2292
534,3,1,0,2,22.3583
535,3,1,0,0,8.6625
536,2,1,0,2,26.25
537,1,0,0,0,26.55
538,1,1,0,0,106.425
539,3,0,0,0,14.5
540,1,1,0,2,49.5
541,1,1,0,2,71.0
542,3,1,4,2,31.275
543,3,1,4,2,31.275
544,2,0,1,0,26.0
545,1,0,1,0,106.425
546,1,0,0,0,26.0
547,2,1,1,0,26.0
548,2,0,0,0,13.8625
549,3,0,1,1,20.525
550,2,0,1,1,36.75
551,1,0,0,2,110.8833
552,2,0,0,0,26.0
553,3,0,0,0,7.8292
554,3,0,0,0,7.225
555,3,1,0,0,7.775
556,1,0,0,0,26.55
557,1,1,1,0,39.6
558,1,0,0,0,227.525
559,1,1,1,1,79.65
560,3,1,1,0,17.4
561,3,0,0,0,7.75
562,3,0,0,0,7.8958
563,2,0,0,0,13.5
564,3,0,0,0,8.05
565,3,1,0,0,8.05
566,3,0,2,0,24.15
567,3,0,0,0,7.8958
568,3,1,0,4,21.075
569,3,0,0,0,7.2292
570,3,0,0,0,7.8542
571,2,0,0,0,10.5
572,1,1,2,0,51.4792
573,1,0,0,0,26.3875
574,3,1,0,0,7.75
575,3,0,0,0,8.05
576,3,0,0,0,14.5
577,2,1,0,0,13.0
578,1,1,1,0,55.9
579,3,1,1,0,14.4583
580,3,0,0,0,7.925
581,2,1,1,1,30.0
582,1,1,1,1,110.8833
583,2,0,0,0,26.0
584,1,0,0,0,40.125
585,3,0,0,0,8.7125
586,1,1,0,2,79.65
587,2,0,0,0,15.0
588,1,0,1,1,79.2
589,3,0,0,0,8.05
590,3,0,0,0,8.05
591,3,0,0,0,7.125
592,1,1,1,0,78.2667
593,3,0,0,0,7.25
594,3,1,0,2,7.75
595,2,0,1,0,26.0
596,3,0,1,1,24.15
597,2,1,0,0,33.0
598,3,0,0,0,0.0
599,3,0,0,0,7.225
600,1,0,1,0,56.9292
601,2,1,2,1,27.0
602,3,0,0,0,7.8958
603,1,0,0,0,42.4
604,3,0,0,0,8.05
605,1,0,0,0,26.55
606,3,0,1,0,15.55
607,3,0,0,0,7.8958
608,1,0,0,0,30.5
609,2,1,1,2,41.5792
610,1,1,0,0,153.4625
611,3,1,1,5,31.275
612,3,0,0,0,7.05
613,3,1,1,0,15.5
614,3,0,0,0,7.75
615,3,0,0,0,8.05
616,2,1,1,2,65.0
617,3,0,1,1,14.4
618,3,1,1,0,16.1
619,2,1,2,1,39.0
620,2,0,0,0,10.5
621,3,0,1,0,14.4542
622,1,0,1,0,52.5542
623,3,0,1,1,15.7417
624,3,0,0,0,7.8542
625,3,0,0,0,16.1
626,1,0,0,0,32.3208
627,2,0,0,0,12.35
628,1,1,0,0,77.9583
629,3,0,0,0,7.8958
630,3,0,0,0,7.7333
631,1,0,0,0,30.0
632,3,0,0,0,7.0542
633,1,0,0,0,30.5
634,1,0,0,0,0.0
635,3,1,3,2,27.9
636,2,1,0,0,13.0
637,3,0,0,0,7.925
638,2,0,1,1,26.25
639,3,1,0,5,39.6875
640,3,0,1,0,16.1
641,3,0,0,0,7.8542
642,1,1,0,0,69.3
643,3,1,3,2,27.9
644,3,0,0,0,56.4958
645,3,1,2,1,19.2583
646,1,0,1,0,76.7292
647,3,0,0,0,7.8958
648,1,0,0,0,35.5
649,3,0,0,0,7.55
650,3,1,0,0,7.55
651,3,0,0,0,7.8958
652,2,1,0,1,23.0
653,3,0,0,0,8.4333
654,3,1,0,0,7.8292
655,3,1,0,0,6.75
656,2,0,2,0,73.5
657,3,0,0,0,7.8958
658,3,1,1,1,15.5
659,2,0,0,0,13.0
660,1,0,0,2,113.275
661,1,0,2,0,133.65
662,3,0,0,0,7.225
663,1,0,0,0,25.5875
664,3,0,0,0,7.4958
665,3,0,1,0,7.925
666,2,0,2,0,73.5
667,2,0,0,0,13.0
668,3,0,0,0,7.775
669,3,0,0,0,8.05
670,1,1,1,0,52.0
671,2,1,1,1,39.0
672,1,0,1,0,52.0
673,2,0,0,0,10.5
674,2,0,0,0,13.0
675,2,0,0,0,0.0
676,3,0,0,0,7.775
677,3,0,0,0,8.05
678,3,1,0,0,9.8417
679,3,1,1,6,46.9
680,1,0,0,1,512.3292
681,3,1,0,0,8.1375
682,1,0,0,0,76.7292
683,3,0,0,0,9.225
684,3,0,5,2,46.9
685,2,0,1,1,39.0
686,2,0,1,2,41.5792
687,3,0,4,1,39.6875
688,3,0,0,0,10.1708
689,3,0,0,0,7.7958
690,1,1,0,1,211.3375
691,1,0,1,0,57.0
692,3,1,0,1,13.4167
693,3,0,0,0,56.4958
694,3,0,0,0,7.225
695,1,0,0,0,26.55
696,2,0,0,0,13.5
697,3,0,0,0,8.05
698,3,1,0,0,7.7333
699,1,0,1,1,110.8833
700,3,0,0,0,7.65
701,1,1,1,0,227.525
702,1,0,0,0,26.2875
703,3,1,0,1,14.4542
704,3,0,0,0,7.7417
705,3,0,1,0,7.8542
706,2,0,0,0,26.0
707,2,1,0,0,13.5
708,1,0,0,0,26.2875
709,1,1,0,0,151.55
710,3,0,1,1,15.2458
711,1,1,0,0,49.5042
712,1,0,0,0,26.55
713,1,0,1,0,52.0
714,3,0,0,0,9.4833
715,2,0,0,0,13.0
716,3,0,0,0,7.65
717,1,1,0,0,227.525
718,2,1,0,0,10.5
719,3,0,0,0,15.5
720,3,0,0,0,7.775
721,2,1,0,1,33.0
722,3,0,1,0,7.0542
723,2,0,0,0,13.0
724,2,0,0,0,13.0
725,1,0,1,0,53.1
726,3,0,0,0,8.6625
727,2,1,3,0,21.0
728,3,1,0,0,7.7375
729,2,0,1,0,26.0
730,3,1,1,0,7.925
731,1,1,0,0,211.3375
732,3,0,0,0,18.7875
733,2,0,0,0,0.0
734,2,0,0,0,13.0
735,2,0,0,0,13.0
736,3,0,0,0,16.1
737,3,1,1,3,34.375
738,1,0,0,0,512.3292
739,3,0,0,0,7.8958
740,3,0,0,0,7.8958
741,1,0,0,0,30.0
742,1,0,1,0,78.85
743,1,1,2,2,262.375
744,3,0,1,0,16.1
745,3,0,0,0,7.925
746,1,0,1,1,71.0
747,3,0,1,1,20.25
748,2,1,0,0,13.0
749,1,0,1,0,53.1
750,3,0,0,0,7.75
751,2,1,1,1,23.0
752,3,0,0,1,12.475
753,3,0,0,0,9.5
754,3,0,0,0,7.8958
755,2,1,1,2,65.0
756,2,0,1,1,14.5
757,3,0,0,0,7.7958
758,2,0,0,0,11.5
759,3,0,0,0,8.05
760,1,1,0,0,86.5
761,3,0,0,0,14.5
762,3,0,0,0,7.125
763,3,0,0,0,7.2292
764,1,1,1,2,120.0
765,3,0,0,0,7.775
766,1,1,1,0,77.9583
767,1,0,0,0,39.6
768,3,1,0,0,7.75
769,3,0,1,0,24.15
770,3,0,0,0,8.3625
771,3,0,0,0,9.5
772,3,0,0,0,7.8542
773,2,1,0,0,10.5
774,3,0,0,0,7.225
775,2,1,1,3,23.0
776,3,0,0,0,7.75
777,3,0,0,0,7.75
778,3,1,0,0,12.475
779,3,0,0,0,7.7375
780,1,1,0,1,211.3375
781,3,1,0,0,7.2292
782,1,1,1,0,57.0
783,1,0,0,0,30.0
784,3,0,1,2,23.45
785,3,0,0,0,7.05
786,3,0,0,0,7.25
787,3,1,0,0,7.4958
788,3,0,4,1,29.125
789,3,0,1,2,20.575
790,1,0,0,0,79.2
791,3,0,0,0,7.75
792,2,0,0,0,26.0
793,3,1,8,2,69.55
794,1,0,0,0,30.6958
795,3,0,0,0,7.8958
796,2,0,0,0,13.0
797,1,1,0,0,25.9292
798,3,1,0,0,8.6833
799,3,0,0,0,7.2292
800,3,1,1,1,24.15
801,2,0,0,0,13.0
802,2,1,1,1,26.25
803,1,0,1,2,120.0
804,3,0,0,1,8.5167
805,3,0,0,0,6.975
806,3,0,0,0,7.775
807,1,0,0,0,0.0
808,3,1,0,0,7.775
809,2,0,0,0,13.0
810,1,1,1,0,53.1
811,3,0,0,0,7.8875
812,3,0,0,0,24.15
813,2,0,0,0,10.5
814,3,1,4,2,31.275
815,3,0,0,0,8.05
816,1,0,0,0,0.0
817,3,1,0,0,7.925
818,2,0,1,1,37.0042
819,3,0,0,0,6.45
820,3,0,3,2,27.9
821,1,1,1,1,93.5
822,3,0,0,0,8.6625
823,1,0,0,0,0.0
824,3,1,0,1,12.475
825,3,0,4,1,39.6875
826,3,0,0,0,6.95
827,3,0,0,0,56.4958
828,2,0,0,2,37.0042
829,3,0,0,0,7.75
830,1,1,0,0,80.0
831,3,1,1,0,14.4542
832,2,0,1,1,18.75
833,3,0,0,0,7.2292
834,3,0,0,0,7.8542
835,3,0,0,0,8.3
836,1,1,1,1,83.1583
837,3,0,0,0,8.6625
838,3,0,0,0,8.05
839,3,0,0,0,56.4958
840,1,0,0,0,29.7
841,3,0,0,0,7.925
842,2,0,0,0,10.5
843,1,1,0,0,31.0
844,3,0,0,0,6.4375
845,3,0,0,0,8.6625
846,3,0,0,0,7.55
847,3,0,8,2,69.55
848,3,0,0,0,7.8958
849,2,0,0,1,33.0
850,1,1,1,0,89.1042
851,3,0,4,2,31.275
852,3,0,0,0,7.775
853,3,1,1,1,15.2458
854,1,1,0,1,39.4
855,2,1,1,0,26.0
856,3,1,0,1,9.35
857,1,1,1,1,164.8667
858,1,0,0,0,26.55
859,3,1,0,3,19.2583
860,3,0,0,0,7.2292
861,3,0,2,0,14.1083
862,2,0,1,0,11.5
863,1,1,0,0,25.9292
864,3,1,8,2,69.55
865,2,0,0,0,13.0
866,2,1,0,0,13.0
867,2,1,1,0,13.8583
868,1,0,0,0,50.4958
869,3,0,0,0,9.5
870,3,0,1,1,11.1333
871,3,0,0,0,7.8958
872,1,1,1,1,52.5542
873,1,0,0,0,5.0
874,3,0,0,0,9.0
875,2,1,1,0,24.0
876,3,1,0,0,7.225
877,3,0,0,0,9.8458
878,3,0,0,0,7.8958
879,3,0,0,0,7.8958
880,1,1,0,1,83.1583
881,2,1,0,1,26.0
882,3,0,0,0,7.8958
883,3,1,0,0,10.5167
884,2,0,0,0,10.5
885,3,0,0,0,7.05
886,3,1,0,5,29.125
887,2,0,0,0,13.0
888,1,1,0,0,30.0
889,3,1,1,2,23.45
890,1,0,0,0,30.0
891,3,0,0,0,7.75
